,logline
1808,Execution time
1528,Successfully Called downstream service - Orchestrator
591,Processing graphql
23,Successfully Called downstream service - Orchestrator
1093,Processing graphql
83,Execution time
1886,Processing graphql
757,Processing graphql
782,Execution time
16,Zone map not found for postalCode N3R5L7
1955,Processing graphql
850,Execution time
1783,Execution time
972,Successfully Called downstream service - Orchestrator
1659,Processing graphql
767,Successfully Called downstream service - Orchestrator
1278,Processing graphql
1699,Execution time
1881,Successfully Called downstream service - Orchestrator
1380,Processing graphql
945,Successfully Called downstream service - Orchestrator
1792,Execution time
254,Execution time
1193,Processing graphql
1251,Execution time
373,Successfully Called downstream service - Orchestrator
1483,Processing graphql
1343,Execution time
228,Execution time
1692,Successfully Called downstream service - Orchestrator
143,Execution time
1775,Processing graphql
443,Processing graphql
539,Processing graphql
1570,Execution time
131,Successfully Called downstream service - Orchestrator
243,Successfully Called downstream service - Orchestrator
814,Execution time
564,Execution time
1730,Processing graphql
522,Execution time
1408,Successfully Called downstream service - Orchestrator
1500,Execution time
407,Execution time
925,Execution time
1529,Execution time
1415,Execution time
217,dbProximityEnabled false and configValue undefined
759,Execution time
1317,Processing graphql
801,Execution time
1806,Processing graphql
61,Execution time
532,Execution time
1822,Processing graphql
1170,Processing graphql
1614,Execution time
499,Processing graphql
798,Execution time
1142,Processing graphql
832,Zone map not found for postalCode N3R5L7
509,Successfully Called downstream service - Orchestrator
1645,Execution time
276,Successfully Called downstream service - Orchestrator
1870,Processing graphql
1458,Processing graphql
1809,Processing graphql
344,Processing graphql
1799,Successfully Called downstream service - Orchestrator
750,Processing graphql
1067,Successfully Called downstream service - Orchestrator
855,Processing graphql
691,Successfully Called downstream service - Orchestrator
1660,Successfully Called downstream service - Orchestrator
1954,Execution time
1111,Successfully Called downstream service - Orchestrator
1220,Processing graphql
301,Execution time
410,Execution time
1266,Zone map not found for postalCode N3R5L7
69,Processing graphql
901,Processing graphql
664,Processing graphql
1040,Successfully Called downstream service - Orchestrator
437,Execution time
358,Execution time
1512,Processing graphql
634,Successfully Called downstream service - Orchestrator
1132,Processing graphql
1740,Processing graphql
1085,Execution time
264,Processing graphql
172,Execution time
827,Zone map not found for postalCode N3R5L7
661,Successfully Called downstream service - Orchestrator
848,Processing graphql
1624,Execution time
1781,Successfully Called downstream service - Orchestrator
1941,Successfully Called downstream service - Orchestrator
251,Execution time
1136,Processing graphql
1070,Successfully Called downstream service - Orchestrator
714,Zone map not found for postalCode N3R5L7
58,Zone map not found for postalCode N3R5L7
367,Successfully Called downstream service - Orchestrator
893,Successfully Called downstream service - Orchestrator
941,dbProximityEnabled false and configValue undefined
954,Processing graphql
27,Execution time
1427,Successfully Called downstream service - Orchestrator
813,Successfully Called downstream service - Orchestrator
542,Processing graphql
1156,Successfully Called downstream service - Orchestrator
1048,Processing graphql
168,Successfully Called downstream service - Orchestrator
956,Execution time
1675,Successfully Called downstream service - Orchestrator
456,Zone map not found for postalCode N3R5L7
101,Successfully Called downstream service - Orchestrator
914,Processing graphql
73,Successfully Called downstream service - Orchestrator
1329,Execution time
99,Zone map not found for postalCode N3R5L7
1875,Processing graphql
1959,Processing graphql
1995,Processing graphql
1593,Successfully Called downstream service - Orchestrator
1506,Zone map not found for postalCode N3R5L7
109,Execution time
928,Execution time
1018,Execution time
566,Processing graphql
584,Processing graphql
368,Execution time
1205,Execution time
1369,Execution time
1932,Execution time
1177,Successfully Called downstream service - Orchestrator
302,Zone map not found for postalCode N3R5L7
561,Successfully Called downstream service - Orchestrator
1968,Execution time
1496,Execution time
1114,Processing graphql
1732,Successfully Called downstream service - Orchestrator
1620,Processing graphql
496,Successfully Called downstream service - Orchestrator
428,Processing graphql
862,Processing graphql
1657,Processing graphql
1896,Execution time
1244,Successfully Called downstream service - Orchestrator
1810,Successfully Called downstream service - Orchestrator
38,Successfully Called downstream service - Orchestrator
1413,Processing graphql
558,Successfully Called downstream service - Orchestrator
199,Execution time
1437,Execution time
630,Processing graphql
1038,Execution time
504,Execution time
444,Successfully Called downstream service - Orchestrator
1651,Execution time
1353,Processing graphql
385,Successfully Called downstream service - Orchestrator
755,Successfully Called downstream service - Orchestrator
294,Execution time
740,Execution time
746,Execution time
888,Processing graphql
728,Execution time
1473,Processing graphql
1942,Successfully Called downstream service - Orchestrator
917,Processing graphql
196,Execution time
1391,Successfully Called downstream service - Orchestrator
252,Processing graphql
117,Zone map not found for postalCode N3R5L7
1449,Successfully Called downstream service - Orchestrator
805,Zone map not found for postalCode N3R5L7
277,Execution time
1840,Processing graphql
1652,Successfully Called downstream service - Orchestrator
1764,Processing graphql
512,Successfully Called downstream service - Orchestrator
1213,Successfully Called downstream service - Orchestrator
477,Processing graphql
41,Successfully Called downstream service - Orchestrator
140,Zone map not found for postalCode N3R5L7
281,Processing graphql
85,Zone map not found for postalCode N3R5L7
1752,Execution time
325,Processing graphql
447,Successfully Called downstream service - Orchestrator
1089,Execution time
1931,Successfully Called downstream service - Orchestrator
442,dbProximityEnabled false and configValue undefined
1972,Execution time
1128,Execution time
1616,Successfully Called downstream service - Orchestrator
697,Successfully Called downstream service - Orchestrator
1606,Successfully Called downstream service - Orchestrator
474,Processing graphql
476,Execution time
246,Processing graphql
526,Processing graphql
7,Processing graphql
396,Successfully Called downstream service - Orchestrator
382,Execution time
17,Processing graphql
1033,Processing graphql
1083,Successfully Called downstream service - Orchestrator
90,Successfully Called downstream service - Orchestrator
314,Execution time
912,Successfully Called downstream service - Orchestrator
693,Processing graphql
1288,Successfully Called downstream service - Orchestrator
1868,Execution time
1131,Execution time
880,Processing graphql
603,dbProximityEnabled false and configValue undefined
1642,Successfully Called downstream service - Orchestrator
240,Successfully Called downstream service - Orchestrator
1403,Execution time
1030,Execution time
1379,Execution time
491,Successfully Called downstream service - Orchestrator
1717,Processing graphql
227,Successfully Called downstream service - Orchestrator
1554,Execution time
383,dbProximityEnabled false and configValue undefined
676,Processing graphql
193,Execution time
330,Processing graphql
174,Successfully Called downstream service - Orchestrator
1400,Processing graphql
997,Processing graphql
653,Processing graphql
601,Successfully Called downstream service - Orchestrator
1420,Processing graphql
1825,Execution time
844,Zone map not found for postalCode N3R5L7
300,Successfully Called downstream service - Orchestrator
1834,Successfully Called downstream service - Orchestrator
88,Execution time
923,Processing graphql
1949,Execution time
430,Execution time
961,Processing graphql
374,Execution time
1071,Execution time
1217,Successfully Called downstream service - Orchestrator
808,Execution time
924,Successfully Called downstream service - Orchestrator
371,Execution time
952,Execution time
92,Processing graphql
184,Successfully Called downstream service - Orchestrator
149,Successfully Called downstream service - Orchestrator
749,Execution time
792,Processing graphql
296,Successfully Called downstream service - Orchestrator
996,dbProximityEnabled false and configValue undefined
1876,Processing graphql
1130,Successfully Called downstream service - Orchestrator
1466,Execution time
425,Processing graphql
1461,Processing graphql
1200,Processing graphql
1916,Successfully Called downstream service - Orchestrator
598,Successfully Called downstream service - Orchestrator
82,Successfully Called downstream service - Orchestrator
1472,Execution time
794,Execution time
108,Successfully Called downstream service - Orchestrator
186,Processing graphql
666,Execution time
192,Successfully Called downstream service - Orchestrator
1713,Successfully Called downstream service - Orchestrator
889,Successfully Called downstream service - Orchestrator
1693,Execution time
979,Execution time
1866,Processing graphql
1077,Execution time
1846,Execution time
1715,Processing graphql
386,Execution time
1315,Successfully Called downstream service - Orchestrator
651,Successfully Called downstream service - Orchestrator
1044,Processing graphql
1724,dbProximityEnabled false and configValue undefined
135,Execution time
79,Successfully Called downstream service - Orchestrator
434,Execution time
898,Processing graphql
256,Successfully Called downstream service - Orchestrator
1485,Execution time
366,Processing graphql
830,Execution time
511,Processing graphql
1181,Execution time
1186,Processing graphql
211,Processing graphql
1523,Processing graphql
841,Processing graphql
1480,Processing graphql
1394,Processing graphql
1135,Zone map not found for postalCode N3R5L7
89,Processing graphql
1194,Successfully Called downstream service - Orchestrator
669,Execution time
1482,Execution time
1682,Successfully Called downstream service - Orchestrator
1459,Successfully Called downstream service - Orchestrator
1469,Execution time
851,Processing graphql
572,Processing graphql
1147,Execution time
1519,Processing graphql
1827,Zone map not found for postalCode N3R5L7
1761,Processing graphql
1856,Zone map not found for postalCode N3R5L7
465,Execution time
60,Successfully Called downstream service - Orchestrator
524,Successfully Called downstream service - Orchestrator
1685,Zone map not found for postalCode N3R5L7
1989,Execution time
1788,Processing graphql
1032,Zone map not found for postalCode N3R5L7
718,dbProximityEnabled false and configValue undefined
1271,Successfully Called downstream service - Orchestrator
409,Successfully Called downstream service - Orchestrator
641,Execution time
1722,Successfully Called downstream service - Orchestrator
1249,Processing graphql
54,Processing graphql
612,Successfully Called downstream service - Orchestrator
1969,Processing graphql
1446,ERROR java.lang.OutOfMemoryError: Java heap space
765,Execution time
816,Successfully Called downstream service - Orchestrator
760,Processing graphql
618,Zone map not found for postalCode N3R5L7
905,Successfully Called downstream service - Orchestrator
1272,Execution time
876,Execution time
231,Successfully Called downstream service - Orchestrator
1411,Successfully Called downstream service - Orchestrator
1215,dbProximityEnabled false and configValue undefined
506,Successfully Called downstream service - Orchestrator
1076,Successfully Called downstream service - Orchestrator
733,Successfully Called downstream service - Orchestrator
1282,Successfully Called downstream service - Orchestrator
545,Processing graphql
907,Processing graphql
1338,dbProximityEnabled false and configValue undefined
633,Processing graphql
189,ERROR java.lang.OutOfMemoryError: Java heap space
1950,Execution time
1739,Successfully Called downstream service - Orchestrator
1242,Execution time
482,Execution time
716,Successfully Called downstream service - Orchestrator
1055,dbProximityEnabled false and configValue undefined
1524,Execution time
65,Execution time
387,dbProximityEnabled false and configValue undefined
1161,Execution time
204,Processing graphql
1250,Successfully Called downstream service - Orchestrator
739,Successfully Called downstream service - Orchestrator
1164,Successfully Called downstream service - Orchestrator
129,Zone map not found for postalCode N3R5L7
540,Successfully Called downstream service - Orchestrator
1019,Processing graphql
1892,Successfully Called downstream service - Orchestrator
319,Successfully Called downstream service - Orchestrator
1436,Successfully Called downstream service - Orchestrator
568,Execution time
559,Execution time
787,Successfully Called downstream service - Orchestrator
609,Successfully Called downstream service - Orchestrator
1245,Execution time
45,Successfully Called downstream service - Orchestrator
1444,Execution time
1877,Processing graphql
1154,Zone map not found for postalCode N3R5L7
408,Processing graphql
1486,Processing graphql
429,Successfully Called downstream service - Orchestrator
1966,Successfully Called downstream service - Orchestrator
1621,Processing graphql
1582,Execution time
1762,Successfully Called downstream service - Orchestrator
355,Execution time
1543,Successfully Called downstream service - Orchestrator
1587,Execution time
1407,Processing graphql
161,Execution time
1778,Processing graphql
915,Successfully Called downstream service - Orchestrator
1737,Successfully Called downstream service - Orchestrator
215,Successfully Called downstream service - Orchestrator
1206,Processing graphql
467,Successfully Called downstream service - Orchestrator
52,Successfully Called downstream service - Orchestrator
111,Successfully Called downstream service - Orchestrator
891,Zone map not found for postalCode N3R5L7
906,Execution time
339,Successfully Called downstream service - Orchestrator
1455,Processing graphql
1468,Successfully Called downstream service - Orchestrator
607,dbProximityEnabled false and configValue undefined
649,Zone map not found for postalCode N3R5L7
1996,Successfully Called downstream service - Orchestrator
1700,Successfully Called downstream service - Orchestrator
1270,Processing graphql
815,Processing graphql
606,Execution time
1823,Zone map not found for postalCode N3R5L7
1842,Execution time
1687,Processing graphql
648,ERROR java.lang.OutOfMemoryError: Java heap space
1906,Processing graphql
86,Processing graphql
706,ERROR java.lang.OutOfMemoryError: Java heap space
486,Processing graphql
1797,Successfully Called downstream service - Orchestrator
158,Execution time
800,Successfully Called downstream service - Orchestrator
1047,Zone map not found for postalCode N3R5L7
224,Successfully Called downstream service - Orchestrator
819,Successfully Called downstream service - Orchestrator
1201,Successfully Called downstream service - Orchestrator
1260,Processing graphql
64,Execution time
1759,Execution time
1116,Execution time
1163,Processing graphql
1511,Zone map not found for postalCode N3R5L7
574,Execution time
29,Successfully Called downstream service - Orchestrator
1322,Execution time
1723,Execution time
518,Execution time
1226,Zone map not found for postalCode N3R5L7
1053,Successfully Called downstream service - Orchestrator
1388,Execution time
306,ERROR java.lang.OutOfMemoryError: Java heap space
269,Execution time
165,Execution time
1590,dbProximityEnabled false and configValue undefined
1285,Successfully Called downstream service - Orchestrator
758,Successfully Called downstream service - Orchestrator
777,Processing graphql
944,Processing graphql
142,Successfully Called downstream service - Orchestrator
1165,Execution time
1264,Successfully Called downstream service - Orchestrator
1123,Processing graphql
1241,Successfully Called downstream service - Orchestrator
492,Execution time
1106,Processing graphql
152,Processing graphql
869,Zone map not found for postalCode N3R5L7
1725,Successfully Called downstream service - Orchestrator
1356,Processing graphql
918,Successfully Called downstream service - Orchestrator
516,Processing graphql
817,Execution time
167,Processing graphql
1326,Execution time
1073,Successfully Called downstream service - Orchestrator
337,Zone map not found for postalCode N3R5L7
1780,Successfully Called downstream service - Orchestrator
270,dbProximityEnabled false and configValue undefined
1294,Successfully Called downstream service - Orchestrator
883,dbProximityEnabled false and configValue undefined
1800,Successfully Called downstream service - Orchestrator
285,Execution time
225,Execution time
1712,Successfully Called downstream service - Orchestrator
1229,Execution time
958,Successfully Called downstream service - Orchestrator
74,Execution time
1401,Successfully Called downstream service - Orchestrator
821,dbProximityEnabled false and configValue undefined
1937,Processing graphql
1422,Execution time
1341,Processing graphql
717,Execution time
107,Processing graphql
1975,Zone map not found for postalCode N3R5L7
1826,ERROR java.lang.OutOfMemoryError: Java heap space
1619,Successfully Called downstream service - Orchestrator
53,Execution time
982,Successfully Called downstream service - Orchestrator
62,Processing graphql
455,ERROR java.lang.OutOfMemoryError: Java heap space
1603,Successfully Called downstream service - Orchestrator
1312,Successfully Called downstream service - Orchestrator
1501,dbProximityEnabled false and configValue undefined
592,Successfully Called downstream service - Orchestrator
951,Successfully Called downstream service - Orchestrator
1178,Execution time
948,Successfully Called downstream service - Orchestrator
234,Successfully Called downstream service - Orchestrator
1214,Execution time
886,Execution time
341,Processing graphql
1230,Execution time
620,Successfully Called downstream service - Orchestrator
110,Processing graphql
144,Processing graphql
1119,Execution time
1520,Successfully Called downstream service - Orchestrator
1755,Zone map not found for postalCode N3R5L7
1922,Zone map not found for postalCode N3R5L7
1074,Execution time
219,Processing graphql
588,Processing graphql
1749,Processing graphql
776,Execution time
1223,Processing graphql
1319,Execution time
208,Processing graphql
910,Zone map not found for postalCode N3R5L7
1676,Execution time
1056,Zone map not found for postalCode N3R5L7
1911,Execution time
863,Successfully Called downstream service - Orchestrator
536,Processing graphql
139,ERROR java.lang.OutOfMemoryError: Java heap space
551,Successfully Called downstream service - Orchestrator
1168,Successfully Called downstream service - Orchestrator
340,Execution time
1453,Successfully Called downstream service - Orchestrator
1462,Successfully Called downstream service - Orchestrator
1061,Successfully Called downstream service - Orchestrator
1431,Execution time
1034,Successfully Called downstream service - Orchestrator
868,ERROR java.lang.OutOfMemoryError: Java heap space
1397,Processing graphql
1883,Successfully Called downstream service - Orchestrator
248,Execution time
1915,Execution time
419,Successfully Called downstream service - Orchestrator
1290,Processing graphql
123,Execution time
1152,Successfully Called downstream service - Orchestrator
1197,Successfully Called downstream service - Orchestrator
100,Processing graphql
936,Execution time
1248,Execution time
1124,Successfully Called downstream service - Orchestrator
335,Successfully Called downstream service - Orchestrator
727,Successfully Called downstream service - Orchestrator
1936,Processing graphql
1831,Processing graphql
853,Execution time
1960,Successfully Called downstream service - Orchestrator
1276,Execution time
1000,dbProximityEnabled false and configValue undefined
667,Processing graphql
637,Successfully Called downstream service - Orchestrator
1824,Successfully Called downstream service - Orchestrator
346,Execution time
752,Execution time
233,Processing graphql
1536,Processing graphql
583,Execution time
1479,Execution time
1031,ERROR java.lang.OutOfMemoryError: Java heap space
926,Processing graphql
155,Zone map not found for postalCode N3R5L7
1789,Execution time
1339,ERROR java.lang.OutOfMemoryError: Java heap space
438,dbProximityEnabled false and configValue undefined
1934,Processing graphql
1661,Processing graphql
992,Execution time
1503,Successfully Called downstream service - Orchestrator
1747,Successfully Called downstream service - Orchestrator
1551,Execution time
80,Execution time
55,Successfully Called downstream service - Orchestrator
1062,Execution time
461,Successfully Called downstream service - Orchestrator
436,Successfully Called downstream service - Orchestrator
1697,Successfully Called downstream service - Orchestrator
348,Successfully Called downstream service - Orchestrator
1196,Processing graphql
1998,Tikoo is a bad bad boy
663,dbProximityEnabled false and configValue undefined
126,Successfully Called downstream service - Orchestrator
556,Execution time
275,Processing graphql
1257,Execution time
1042,ERROR java.lang.OutOfMemoryError: Java heap space
498,dbProximityEnabled false and configValue undefined
1845,Successfully Called downstream service - Orchestrator
